Name,v_T,v_R,v_O_max,v_n_R_max,autorhythmic_rate,beta_x,beta_y,beta_z,alpha1_x,alpha2_x,alpha3_x,alpha4_x,alpha1_y,alpha2_y,alpha3_y,alpha4_y,alpha1_z,alpha2_z,alpha3_z,alpha4_z,A_m,C_m,Neighbours,gamma_0,sigma_0,distance_0,gamma_1,sigma_1,distance_1,gamma_2,sigma_2,distance_2,gamma_3,sigma_3,distance_3,gamma_4,sigma_4,distance_4
SinoatrialNode,44.5,30,131.1,0.04,100,777200,58900,276600,-8.7,-23.6,-6.9,-33.2,-190.9,-45.5,75.9,20,-190.4,-12.9,6826.5,2,100,0.01,5,100,0.1,1,100,0.1,10,100,0.1,10,100,0.1,10,100,0.1,10
BachmannBundle,44.5,30,131.1,0.04,0,777200,58900,276600,-8.7,-23.6,-6.9,-33.2,-190.9,-45.5,75.9,20,-190.4,-12.9,6826.5,2,100,0.01,2,100,0.1,10,100,0.1,10,,,,,,,,,
LeftAtrium,44.5,30,131.1,0.04,0,777200,58900,276600,-8.7,-23.6,-6.9,-33.2,-190.9,-45.5,75.9,20,-190.4,-12.9,6826.5,2,100,0.01,2,100,0.1,10,100,0.1,10,,,,,,,,,
LeftAtrium1,44.5,30,131.1,0.04,0,777200,58900,276600,-8.7,-23.6,-6.9,-33.2,-190.9,-45.5,75.9,20,-190.4,-12.9,6826.5,2,100,0.01,1,100,0.1,10,,,,,,,,,,,,
RightAtrium,44.5,30,131.1,0.04,0,777200,58900,276600,-8.7,-23.6,-6.9,-33.2,-190.9,-45.5,75.9,20,-190.4,-12.9,6826.5,2,100,0.01,3,100,0.1,10,100,0.1,10,100,0.1,1,,,,,,
RightAtrium1,44.5,30,131.1,0.04,0,777200,58900,276600,-8.7,-23.6,-6.9,-33.2,-190.9,-45.5,75.9,20,-190.4,-12.9,6826.5,2,100,0.01,2,100,0.1,10,100,0.1,10,,,,,,,,,
CoronarySinus,44.5,30,131.1,0.04,0,777200,58900,276600,-8.7,-23.6,-6.9,-33.2,-190.9,-45.5,75.9,20,-190.4,-12.9,6826.5,2,100,0.01,1,100,0.1,10,,,,,,,,,,,,
CristaTerminalis,44.5,30,131.1,0.04,0,777200,58900,276600,-8.7,-23.6,-6.9,-33.2,-190.9,-45.5,75.9,20,-190.4,-12.9,6826.5,2,100,0.01,2,100,0.1,10,100,0.1,10,,,,,,,,,
CristaTerminalis1,44.5,30,131.1,0.04,0,777200,58900,276600,-8.7,-23.6,-6.9,-33.2,-190.9,-45.5,75.9,20,-190.4,-12.9,6826.5,2,100,0.01,1,100,0.1,10,,,,,,,,,,,,
Ostium,44.5,30,131.1,0.04,0,777200,58900,276600,-8.7,-23.6,-6.9,-33.2,-190.9,-45.5,75.9,20,-190.4,-12.9,6826.5,2,100,0.01,3,100,0.1,10,100,0.1,10,100,0.1,10,,,,,,
Fast,44.5,30,131.1,0.04,0,777200,58900,276600,-8.7,-23.6,-6.9,-33.2,-190.9,-45.5,75.9,18,-190.4,-12.9,6826.5,2,100,0.01,2,100,0.1,10,100,0.1,10,,,,,,,,,
