Time, SA, RA, OS, Fast, AV, His, RBB, RVA, RV
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.001000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.002000, 44.500000, 0.000000, 0.000000, 0.000000, 44.500000, 0.000000, 44.500000, 0.000000, 0.000000
0.003000, 44.500000, 0.000000, 0.000000, 0.000000, 44.500000, 0.000000, 44.500000, 0.000000, 0.000000
0.004000, 128.516246, 0.000000, 0.000000, 0.000000, 128.516246, 0.000000, 128.516246, 0.000000, 0.000000
0.005000, 131.100000, 0.000000, 0.000000, 0.000000, 131.100000, 0.000000, 131.100000, 0.000000, 0.000000
0.006000, 131.100000, 0.000000, 0.000000, 0.000000, 131.100000, 0.000000, 131.100000, 0.000000, 0.000000
0.007000, 130.108022, 0.000000, 0.000000, 0.000000, 130.108022, 0.000000, 130.133285, 0.000000, 0.000000
0.008000, 129.152625, 0.000000, 0.000000, 0.000000, 129.152625, 0.000000, 129.203925, 0.000000, 0.000000
0.009000, 128.232561, 0.000000, 0.000000, 0.000000, 128.232561, 0.000000, 128.310693, 0.000000, 0.000000
0.010000, 127.346624, 0.000000, 0.000000, 0.000000, 127.346624, 0.000000, 127.452399, 0.000000, 0.000000
0.011000, 126.493643, 0.000000, 0.000000, 0.000000, 126.493643, 0.000000, 126.627894, 0.000000, 0.000000
0.012000, 125.672489, 0.000000, 0.000000, 0.000000, 125.672489, 0.000000, 125.836066, 44.500000, 0.000000
0.013000, 124.882066, 0.000000, 0.000000, 0.000000, 124.882066, 0.000000, 125.075840, 44.500000, 0.000000
0.014000, 124.121313, 0.000000, 0.000000, 0.000000, 124.121313, 0.000000, 124.346176, 128.516246, 0.000000
0.015000, 123.389203, 0.000000, 0.000000, 0.000000, 123.389203, 0.000000, 123.646067, 131.100000, 0.000000
0.016000, 122.684741, 0.000000, 0.000000, 0.000000, 122.684741, 0.000000, 122.974540, 131.100000, 0.000000
0.017000, 122.006965, 0.000000, 0.000000, 0.000000, 122.006965, 0.000000, 122.330655, 130.133285, 0.000000
0.018000, 121.354941, 0.000000, 0.000000, 0.000000, 121.354941, 0.000000, 121.713499, 129.203925, 0.000000
0.019000, 120.727767, 0.000000, 0.000000, 0.000000, 120.727767, 0.000000, 121.122193, 128.310693, 0.000000
0.020000, 120.124566, 0.000000, 0.000000, 0.000000, 120.124566, 0.000000, 120.555884, 127.452399, 0.000000
0.021000, 119.544492, 0.000000, 0.000000, 0.000000, 119.544492, 0.000000, 120.013748, 126.627894, 0.000000
0.022000, 118.986722, 0.000000, 0.000000, 0.000000, 118.986722, 0.000000, 119.494988, 125.836066, 0.000000
