Name,v_T,v_R,v_O_max,v_n_R_max,beta_x,beta_y,beta_z,alpha1_x,alpha2_x,alpha3_x,alpha4_x,alpha1_y,alpha2_y,alpha3_y,alpha4_y,alpha1_z,alpha2_z,alpha3_z,alpha4_z,A_m,C_m,Neighbours,gamma_0,sigma_0,distance_0,gamma_1,sigma_1,distance_1,gamma_2,sigma_2,distance_2,gamma_3,sigma_3,distance_3,gamma_4,sigma_4,distance_4
SinoatrialNode,44.5,30,131.1,0.04,0.7772,0.0589,0.2766,-0.0087,-0.0236,-0.0069,-0.0332,-0.1909,-0.0455,0.0759,0.02,-0.1904,-0.0129,6.8265,0.002,100,0.01,5,100,0.1,1,100,0.1,10,100,0.1,10,100,0.1,10,100,0.1,10
BachmannBundle,44.5,30,131.1,0.04,0.7772,0.0589,0.2766,-0.0087,-0.0236,-0.0069,-0.0332,-0.1909,-0.0455,0.0759,0.02,-0.1904,-0.0129,6.8265,0.002,100,0.01,2,100,0.1,10,100,0.1,10,,,,,,,,,
LeftAtrium,44.5,30,131.1,0.04,0.7772,0.0589,0.2766,-0.0087,-0.0236,-0.0069,-0.0332,-0.1909,-0.0455,0.0759,0.02,-0.1904,-0.0129,6.8265,0.002,100,0.01,2,100,0.1,10,100,0.1,10,,,,,,,,,
LeftAtrium1,44.5,30,131.1,0.04,0.7772,0.0589,0.2766,-0.0087,-0.0236,-0.0069,-0.0332,-0.1909,-0.0455,0.0759,0.02,-0.1904,-0.0129,6.8265,0.002,100,0.01,1,100,0.1,10,,,,,,,,,,,,
RightAtrium,44.5,30,131.1,0.04,0.7772,0.0589,0.2766,-0.0087,-0.0236,-0.0069,-0.0332,-0.1909,-0.0455,0.0759,0.02,-0.1904,-0.0129,6.8265,0.002,100,0.01,2,100,0.1,10,100,0.1,10,,,,,,,,,
RightAtrium1,44.5,30,131.1,0.04,0.7772,0.0589,0.2766,-0.0087,-0.0236,-0.0069,-0.0332,-0.1909,-0.0455,0.0759,0.02,-0.1904,-0.0129,6.8265,0.002,100,0.01,2,100,0.1,10,100,0.1,10,,,,,,,,,
CoronarySinus,44.5,30,131.1,0.04,0.7772,0.0589,0.2766,-0.0087,-0.0236,-0.0069,-0.0332,-0.1909,-0.0455,0.0759,0.02,-0.1904,-0.0129,6.8265,0.002,100,0.01,1,100,0.1,10,,,,,,,,,,,,
CristaTerminalis,44.5,30,131.1,0.04,0.7772,0.0589,0.2766,-0.0087,-0.0236,-0.0069,-0.0332,-0.1909,-0.0455,0.0759,0.02,-0.1904,-0.0129,6.8265,0.002,100,0.01,2,100,0.1,10,100,0.1,10,,,,,,,,,
CristaTerminalis1,44.5,30,131.1,0.04,0.7772,0.0589,0.2766,-0.0087,-0.0236,-0.0069,-0.0332,-0.1909,-0.0455,0.0759,0.02,-0.1904,-0.0129,6.8265,0.002,100,0.01,1,100,0.1,10,,,,,,,,,,,,
Ostium,44.5,30,131.1,0.04,0.7772,0.0589,0.2766,-0.0087,-0.0236,-0.0069,-0.0332,-0.1909,-0.0455,0.0759,0.02,-0.1904,-0.0129,6.8265,0.002,100,0.01,3,100,0.1,1,100,0.1,10,100,0.1,10,,,,,,
